Out_group.out_degree,Out_group.in_degree
1.94053796,0.795747432
-0.775896541,-0.25193548
-0.775896541,-0.775776937
-0.23260964,1.843430344
-0.775896541,-0.775776937
1.94053796,-0.775776937
-0.775896541,0.271905976
1.39725106,-0.775776937
-0.775896541,-0.775776937
-0.23260964,-0.775776937
-0.23260964,1.319588888
-0.775896541,-0.775776937
0.211897823,0.176662075
-0.775896541,-0.775776937
-0.775896541,0.176662075
-0.775896541,-0.775776937
-0.775896541,0.176662075
0.211897823,-0.775776937
-0.775896541,-0.775776937
0.211897823,1.129101086
-0.775896541,-0.775776937
0.211897823,0.176662075
2.187486551,1.129101086
-0.775896541,0.176662075
0.211897823,1.129101086
-0.775896541,-0.775776937
-0.775896541,-0.775776937
0.211897823,-0.775776937
2.187486551,1.129101086
1.199692187,3.033979109
0.211897823,-0.775776937
