Response,Joint_cooperation_score,Food_sharing,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,-0.230066741,-0.223848431,-0.311082799,F_F,4.543294782,Ind5,Ind2,Ind2_Ind5
0,0.369880089,-0.223848431,-0.311082799,F_M,4.744932128,Ind14,Ind4,Ind4_Ind14
0,0.110858896,-0.223848431,-0.311082799,F_F,4.430816799,Ind14,Ind1,Ind1_Ind14
0,-0.454414038,-0.223848431,-0.311082799,F_F,4.770684624,Ind18,Ind14,Ind14_Ind18
3,0.557257121,-0.223848431,-0.311082799,F_F,4.477336814,Ind10,Ind14,Ind10_Ind14
0,-0.577512199,-0.223848431,-0.311082799,F_M,4.204692619,Ind14,Ind9,Ind9_Ind14
0,-0.043554613,-0.223848431,-0.311082799,F_F,4.736198448,Ind14,Ind17,Ind14_Ind17
0,-0.157072749,-0.223848431,-0.311082799,F_M,4.077537444,Ind22,Ind14,Ind14_Ind22
0,-0.396264321,-0.223848431,-0.311082799,F_M,4.795790546,Ind14,Ind16,Ind14_Ind16
2,-0.504116852,-0.223848431,-0.311082799,F_F,5.351858133,Ind14,Ind28,Ind14_Ind28
2,-0.843692657,-0.223848431,-0.311082799,F_F,4.094344562,Ind14,Ind15,Ind14_Ind15
5,-1.067535588,1.540812082,-0.311082799,F_F,5.673323267,Ind14,Ind6,Ind6_Ind14
0,-0.284239845,-0.223848431,-0.311082799,F_F,4.905274778,Ind20,Ind14,Ind14_Ind20
0,-0.818042914,-0.223848431,-0.311082799,F_F,5.398162702,Ind14,Ind24,Ind14_Ind24
4,-0.918993707,-0.223848431,7.35433967,F_F,5.204006687,Ind14,Ind8,Ind8_Ind14
0,-1.021180632,-0.223848431,-0.311082799,F_M,4.615120517,Ind14,Ind31,Ind14_Ind31
0,-1.049251133,-0.223848431,-0.311082799,F_M,4.691347882,Ind25,Ind14,Ind14_Ind25
0,2.014914462,-0.223848431,-0.311082799,F_M,4.919980926,Ind13,Ind14,Ind13_Ind14
6,0.337483125,1.980083798,2.682708809,F_F,5.451038454,Ind29,Ind14,Ind14_Ind29
6,1.811982766,2.164599054,-0.311082799,F_F,5.370638028,Ind14,Ind11,Ind11_Ind14
3,0.361227163,-0.223848431,-0.311082799,F_F,5.170483995,Ind14,Ind5,Ind5_Ind14
5,0.958738016,-0.223848431,-0.311082799,M_M,4.110873864,Ind4,Ind27,Ind4_Ind27
1,0.699716824,-0.223848431,-0.311082799,F_M,3.828641396,Ind1,Ind27,Ind1_Ind27
0,0.134443889,-0.223848431,-0.311082799,F_M,4.189654742,Ind18,Ind27,Ind18_Ind27
0,1.146115049,-0.223848431,-0.311082799,F_M,3.80666249,Ind10,Ind27,Ind10_Ind27
0,0.011345729,-0.223848431,-0.311082799,M_M,3.496507561,Ind9,Ind27,Ind9_Ind27
0,0.545303315,-0.223848431,-0.311082799,F_M,4.110873864,Ind27,Ind17,Ind17_Ind27
0,0.431785179,-0.223848431,-0.311082799,M_M,3.688879454,Ind22,Ind27,Ind22_Ind27
0,0.192593606,-0.223848431,-0.311082799,M_M,4.007333185,Ind27,Ind16,Ind16_Ind27
1,0.084741076,-0.223848431,-0.311082799,F_M,5.023880521,Ind27,Ind28,Ind27_Ind28
0,-0.254834729,-0.223848431,-0.311082799,F_M,3.951243719,Ind27,Ind15,Ind15_Ind27
3,-0.478677661,-0.223848431,-0.311082799,F_M,5.575949103,Ind27,Ind6,Ind6_Ind27
1,0.304618083,-0.223848431,-0.311082799,F_M,4.406719247,Ind27,Ind20,Ind20_Ind27
0,-0.229184987,-0.223848431,-0.311082799,F_M,5.068904202,Ind27,Ind24,Ind24_Ind27
0,-0.33013578,-0.223848431,-0.311082799,F_M,4.859812404,Ind27,Ind8,Ind8_Ind27
0,-0.432322705,-0.223848431,-0.311082799,M_M,4.248495242,Ind31,Ind27,Ind27_Ind31
0,-0.460393206,-0.223848431,-0.311082799,M_M,4.59511985,Ind25,Ind27,Ind25_Ind27
0,2.60377239,-0.223848431,-0.311082799,M_M,4.48863637,Ind13,Ind27,Ind13_Ind27
0,0.926341052,-0.223848431,-0.311082799,F_M,5.170483995,Ind27,Ind29,Ind27_Ind29
0,2.400840694,-0.223848431,-0.311082799,F_M,5.017279837,Ind11,Ind27,Ind11_Ind27
0,0.950085091,-0.223848431,-0.311082799,F_M,4.96284463,Ind5,Ind27,Ind5_Ind27
3,1.613875539,-0.223848431,-0.311082799,F_M,4.406719247,Ind4,Ind30,Ind4_Ind30
0,1.354854346,-0.223848431,-0.311082799,F_F,4.025351691,Ind1,Ind30,Ind1_Ind30
1,0.789581412,-0.223848431,-0.311082799,F_F,4.382026635,Ind18,Ind30,Ind18_Ind30
2,1.801252572,-0.223848431,-0.311082799,F_F,4.094344562,Ind10,Ind30,Ind10_Ind30
0,0.666483252,-0.223848431,-0.311082799,F_M,3.737669618,Ind9,Ind30,Ind9_Ind30
1,1.200440838,6.44519325,-0.311082799,F_F,4.343805422,Ind17,Ind30,Ind17_Ind30
2,1.086922701,-0.223848431,-0.311082799,F_M,3.891820298,Ind30,Ind22,Ind22_Ind30
0,0.847731129,-0.223848431,-0.311082799,F_M,4.317488114,Ind16,Ind30,Ind16_Ind30
2,0.739878598,-0.223848431,3.229797631,F_F,5.283203729,Ind28,Ind30,Ind28_Ind30
0,0.400302794,-0.223848431,-0.311082799,F_F,3.970291914,Ind30,Ind15,Ind15_Ind30
5,0.176459862,-0.223848431,-0.311082799,F_F,5.616771098,Ind6,Ind30,Ind6_Ind30
1,0.959755606,3.917411322,-0.311082799,F_F,4.820281566,Ind20,Ind30,Ind20_Ind30
1,0.425952536,2.318311021,-0.311082799,F_F,5.308267697,Ind30,Ind24,Ind24_Ind30
0,0.325001743,-0.223848431,-0.311082799,F_F,5.135798437,Ind30,Ind8,Ind8_Ind30
0,0.222814818,-0.223848431,-0.311082799,F_M,4.553876892,Ind30,Ind31,Ind30_Ind31
0,0.194744317,-0.223848431,-0.311082799,F_M,4.753590191,Ind30,Ind25,Ind25_Ind30
