Response,Joint_cooperation_score,Grooming_score,Food_sharing,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,0.268112742,-0.51459561,-0.223848431,F_M,4.158883083,Ind3,Ind4,Ind3_Ind4
0,0.829893754,-0.51459561,-0.223848431,F_F,3.912023005,Ind1,Ind3,Ind1_Ind3
0,-0.106407933,-0.51459561,-0.223848431,F_F,4.248495242,Ind3,Ind18,Ind3_Ind18
0,0.043400337,-0.51459561,-0.223848431,F_F,3.871201011,Ind3,Ind10,Ind3_Ind10
0,-0.406024473,-0.51459561,-0.223848431,F_M,3.433987204,Ind9,Ind3,Ind3_Ind9
0,1.578935104,0.0324183,-0.223848431,F_F,4.290459441,Ind3,Ind17,Ind3_Ind17
0,-0.256216203,-0.51459561,-0.223848431,F_M,3.465735903,Ind22,Ind3,Ind3_Ind22
0,-0.14386,-0.51459561,-0.223848431,F_M,4.17438727,Ind3,Ind16,Ind3_Ind16
1,0.230660674,0.57943221,-0.223848431,F_F,5.384495063,Ind28,Ind3,Ind3_Ind28
0,-0.368572405,-0.51459561,-0.223848431,F_F,3.871201011,Ind3,Ind15,Ind3_Ind15
0,1.279318564,-0.51459561,-0.223848431,F_F,5.669880923,Ind6,Ind3,Ind3_Ind6
0,0.867345822,0.0324183,3.579975342,F_F,4.905274778,Ind20,Ind3,Ind3_Ind20
1,0.605181349,-0.51459561,-0.223848431,F_F,5.262690189,Ind24,Ind3,Ind3_Ind24
1,0.942249957,-0.51459561,-0.223848431,F_F,5.087596335,Ind3,Ind8,Ind3_Ind8
0,-0.44347654,-0.51459561,-0.223848431,F_M,4.49980967,Ind3,Ind31,Ind3_Ind31
0,-0.480928608,-0.51459561,-0.223848431,F_M,4.691347882,Ind3,Ind25,Ind3_Ind25
0,0.305564809,-0.51459561,-0.223848431,F_M,4.86753445,Ind3,Ind13,Ind3_Ind13
1,1.691291306,1.673460031,4.280679722,F_F,5.429345629,Ind3,Ind29,Ind3_Ind29
1,1.054606159,1.12644612,4.786065807,F_F,5.323009979,Ind3,Ind11,Ind3_Ind11
1,0.567729282,-0.51459561,-0.223848431,F_F,5.176149733,Ind3,Ind5,Ind3_Ind5
0,-0.58975991,0.0324183,-0.223848431,F_M,3.761200116,Ind23,Ind4,Ind4_Ind23
0,-0.027978897,0.0324183,-0.223848431,F_F,3.33220451,Ind1,Ind23,Ind1_Ind23
0,-0.964280585,-0.51459561,-0.223848431,F_F,3.80666249,Ind23,Ind18,Ind18_Ind23
0,-0.814472315,-0.51459561,-0.223848431,F_F,3.526360525,Ind10,Ind23,Ind10_Ind23
0,-1.263897124,-0.51459561,-0.223848431,F_M,3.218875825,Ind23,Ind9,Ind9_Ind23
0,0.721062452,-0.51459561,-0.223848431,F_F,3.737669618,Ind23,Ind17,Ind17_Ind23
0,-1.114088855,-0.51459561,-0.223848431,F_M,3.218875825,Ind23,Ind22,Ind22_Ind23
0,-1.001732652,-0.51459561,-0.223848431,F_M,3.784189634,Ind16,Ind23,Ind16_Ind23
0,-0.627211977,-0.51459561,-0.223848431,F_F,4.997212274,Ind23,Ind28,Ind23_Ind28
0,-1.226445057,-0.51459561,-0.223848431,F_F,3.610917913,Ind15,Ind23,Ind15_Ind23
0,0.421445912,-0.51459561,-0.223848431,F_F,5.323009979,Ind23,Ind6,Ind6_Ind23
0,0.00947317,-0.51459561,-0.223848431,F_F,4.553876892,Ind23,Ind20,Ind20_Ind23
0,-0.252691302,-0.51459561,-0.223848431,F_F,4.983606622,Ind24,Ind23,Ind23_Ind24
0,0.084377305,-0.51459561,-0.223848431,F_F,4.727387819,Ind8,Ind23,Ind8_Ind23
0,-1.301349192,-0.51459561,-0.223848431,F_M,4.158883083,Ind31,Ind23,Ind23_Ind31
0,-1.338801259,-0.51459561,-0.223848431,F_M,4.406719247,Ind23,Ind25,Ind23_Ind25
0,-0.552307842,-0.51459561,-0.223848431,F_M,4.369447852,Ind13,Ind23,Ind13_Ind23
0,0.833418655,0.0324183,-0.223848431,F_F,5.023880521,Ind23,Ind29,Ind23_Ind29
0,0.196733507,-0.51459561,-0.223848431,F_F,4.990432587,Ind11,Ind23,Ind11_Ind23
0,-0.29014337,-0.51459561,4.203015443,F_F,4.753590191,Ind5,Ind23,Ind5_Ind23
0,-0.160823584,-0.51459561,-0.223848431,F_M,3.583518938,Ind4,Ind2,Ind2_Ind4
0,0.400957428,-0.51459561,-0.223848431,F_F,3.258096538,Ind1,Ind2,Ind1_Ind2
0,-0.535344259,-0.51459561,-0.223848431,F_F,3.555348061,Ind18,Ind2,Ind2_Ind18
0,-0.385535989,-0.51459561,-0.223848431,F_F,3.295836866,Ind10,Ind2,Ind2_Ind10
0,-0.834960799,-0.51459561,-0.223848431,F_M,2.772588722,Ind9,Ind2,Ind2_Ind9
0,1.149998778,-0.51459561,-0.223848431,F_F,3.663561646,Ind17,Ind2,Ind2_Ind17
0,-0.685152529,-0.51459561,-0.223848431,F_M,2.995732274,Ind22,Ind2,Ind2_Ind22
0,-0.572796326,-0.51459561,-0.223848431,F_M,3.526360525,Ind16,Ind2,Ind2_Ind16
0,-0.198275651,0.0324183,-0.223848431,F_F,4.691347882,Ind28,Ind2,Ind2_Ind28
0,-0.797508731,-0.51459561,-0.223848431,F_F,3.17805383,Ind2,Ind15,Ind2_Ind15
0,0.850382238,-0.51459561,-0.223848431,F_F,5.087596335,Ind2,Ind6,Ind2_Ind6
0,0.438409496,-0.51459561,-0.223848431,F_F,4.304065093,Ind20,Ind2,Ind2_Ind20
0,0.176245023,-0.51459561,-0.223848431,F_F,4.795790546,Ind24,Ind2,Ind2_Ind24
0,0.513313631,-0.51459561,-0.223848431,F_F,4.634728988,Ind2,Ind8,Ind2_Ind8
0,-0.872412866,-0.51459561,-0.223848431,F_M,4.007333185,Ind31,Ind2,Ind2_Ind31
0,-0.909864934,-0.51459561,-0.223848431,F_M,4.007333185,Ind25,Ind2,Ind2_Ind25
0,-0.123371516,-0.51459561,-0.223848431,F_M,4.219507705,Ind2,Ind13,Ind2_Ind13
0,1.262354981,-0.51459561,-0.223848431,F_F,4.859812404,Ind29,Ind2,Ind2_Ind29
0,0.625669833,-0.51459561,-0.223848431,F_F,4.49980967,Ind2,Ind11,Ind2_Ind11
0,0.138792956,-0.51459561,-0.223848431,F_F,4.543294782,Ind5,Ind2,Ind2_Ind5
0,0.983006618,-0.51459561,-0.223848431,F_M,4.744932128,Ind14,Ind4,Ind4_Ind14
0,1.544787631,-0.51459561,-0.223848431,F_F,4.430816799,Ind14,Ind1,Ind1_Ind14
0,0.608485943,-0.51459561,-0.223848431,F_F,4.770684624,Ind18,Ind14,Ind14_Ind18
0,0.758294213,1.12644612,-0.223848431,F_F,4.477336814,Ind10,Ind14,Ind10_Ind14
0,0.308869404,-0.51459561,-0.223848431,F_M,4.204692619,Ind14,Ind9,Ind9_Ind14
0,2.29382898,-0.51459561,-0.223848431,F_F,4.736198448,Ind14,Ind17,Ind14_Ind17
