Response,Joint_cooperation_score,Grooming,Coalition,Sex_combination,Observation_effort,Individual1,Individual2,Dyad
0,-1.118518092,-0.51459561,-0.311082799,F_M,4.744932128,Ind14,Ind4,Ind4_Ind14
0,-0.671734274,-0.51459561,-0.311082799,F_F,4.430816799,Ind14,Ind1,Ind1_Ind14
0,-0.783430229,-0.51459561,-0.311082799,F_F,4.770684624,Ind18,Ind14,Ind14_Ind18
0,-0.224950457,1.12644612,-0.311082799,F_F,4.477336814,Ind10,Ind14,Ind10_Ind14
0,-1.230214046,-0.51459561,-0.311082799,F_M,4.204692619,Ind14,Ind9,Ind9_Ind14
0,-0.783430229,-0.51459561,-0.311082799,F_F,4.736198448,Ind14,Ind17,Ind14_Ind17
0,-0.783430229,-0.51459561,-0.311082799,F_M,4.077537444,Ind22,Ind14,Ind14_Ind22
0,-1.118518092,-0.51459561,-0.311082799,F_M,4.795790546,Ind14,Ind16,Ind14_Ind16
0,1.338792904,0.57943221,-0.311082799,F_F,5.351858133,Ind14,Ind28,Ind14_Ind28
0,-1.230214046,0.57943221,-0.311082799,F_F,4.094344562,Ind14,Ind15,Ind14_Ind15
1,-0.113254503,2.220473941,-0.311082799,F_F,5.673323267,Ind14,Ind6,Ind6_Ind14
0,0.110137406,-0.51459561,-0.311082799,F_F,4.905274778,Ind20,Ind14,Ind14_Ind20
0,-0.783430229,-0.51459561,-0.311082799,F_F,5.398162702,Ind14,Ind24,Ind14_Ind24
0,-0.336646411,1.673460031,7.35433967,F_F,5.204006687,Ind14,Ind8,Ind8_Ind14
0,-1.006822137,-0.51459561,-0.311082799,F_M,4.615120517,Ind14,Ind31,Ind14_Ind31
0,-1.230214046,-0.51459561,-0.311082799,F_M,4.691347882,Ind25,Ind14,Ind14_Ind25
0,-1.230214046,-0.51459561,-0.311082799,F_M,4.919980926,Ind13,Ind14,Ind13_Ind14
1,0.892009086,2.767487851,2.682708809,F_F,5.451038454,Ind29,Ind14,Ind14_Ind29
1,-0.001558548,2.767487851,-0.311082799,F_F,5.370638028,Ind14,Ind11,Ind11_Ind14
0,2.232360538,1.12644612,-0.311082799,F_F,5.170483995,Ind14,Ind5,Ind5_Ind14
0,-1.048037078,2.220473941,-0.311082799,M_M,4.110873864,Ind4,Ind27,Ind4_Ind27
0,-0.601253261,0.0324183,-0.311082799,F_M,3.828641396,Ind1,Ind27,Ind1_Ind27
0,-0.712949215,-0.51459561,-0.311082799,F_M,4.189654742,Ind18,Ind27,Ind18_Ind27
