Out_group.out_degree,Out_group.in_degree
1.629465875,0.693729415
-0.792713128,-0.300227436
-0.792713128,-0.797205861
-0.308277328,1.687686265
-0.792713128,-0.797205861
1.629465875,-0.797205861
-0.792713128,0.693729415
1.145030074,-0.797205861
-0.792713128,-0.797205861
0.176158473,-0.797205861
-0.308277328,1.687686265
-0.792713128,-0.797205861
0.088079236,0.106391276
-0.792713128,-0.797205861
-0.792713128,0.106391276
-0.792713128,-0.797205861
-0.792713128,0.106391276
0.088079236,-0.797205861
-0.792713128,-0.797205861
0.088079236,1.009988413
-0.792713128,-0.797205861
0.968871601,0.106391276
1.849663966,1.009988413
-0.792713128,1.009988413
0.968871601,1.009988413
-0.792713128,-0.797205861
-0.792713128,-0.797205861
0.088079236,-0.797205861
2.730456331,1.009988413
0.968871601,2.817182686
0.088079236,-0.797205861
